DBN,School Name,Total Parent Response Rate,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,,,,,,,,,,,,
01M015,P.S. 015 Roberto Clemente,88%,96%,96%,96%,94%,92%,96%,94%,94%,96%,94%,94%,96%,95%,94%,96%,92%,95%,94%,,,,,,,,,,,,
01M019,P.S. 019 Asher Levy,100%,96%,97%,97%,96%,96%,94%,92%,93%,98%,93%,96%,94%,93%,98%,96%,96%,98%,73%,,,,,,,,,,,,
01M020,P.S. 020 Anna Silver,60%,88%,89%,95%,90%,95%,93%,91%,91%,93%,91%,91%,91%,94%,95%,95%,89%,90%,91%,,,,,,,,,,,,
01M034,P.S. 034 Franklin D. Roosevelt,29%,92%,89%,93%,91%,96%,91%,87%,91%,87%,92%,92%,91%,92%,92%,95%,94%,94%,91%,,,,,,,,,,,,
01M063,The Star Academy - P.S.63,72%,96%,94%,98%,93%,98%,93%,93%,93%,98%,94%,95%,97%,98%,98%,98%,94%,97%,92%,,,,,,,,,,,,
01M064,P.S. 064 Robert Simon,39%,90%,95%,96%,91%,96%,94%,94%,94%,91%,97%,92%,95%,97%,95%,94%,92%,96%,92%,,,,,,,,,,,,
01M110,P.S. 110 Florence Nightingale,72%,88%,91%,96%,90%,93%,91%,94%,92%,95%,90%,91%,93%,95%,97%,94%,93%,95%,87%,,,,,,,,,,,,
01M134,P.S. 134 Henrietta Szold,60%,93%,94%,97%,93%,95%,90%,88%,88%,92%,85%,90%,88%,84%,90%,91%,96%,97%,93%,,,,,,,,,,,,
01M140,P.S. 140 Nathan Straus,72%,90%,92%,96%,91%,95%,94%,89%,88%,90%,88%,92%,92%,92%,93%,94%,94%,95%,87%,,,,,,,,,,,,
01M142,P.S. 142 Amalia Castro,97%,95%,96%,97%,97%,97%,96%,95%,95%,96%,94%,95%,96%,96%,96%,95%,97%,97%,91%,,,,,,,,,,,,
